10549,4735,341,8033,2016-05-22,1937
10505,4747,321,8006,2016-04-01,277
10504,4730,303,8026,2016-05-18,922
10523,4738,315,8008,2016-05-05,2107
10526,4731,323,8047,2016-05-21,4800
10524,4745,310,8025,2016-03-15,2644
10510,4712,304,8009,2016-05-27,4673
10524,4727,341,8044,2016-03-02,719
10549,4724,333,8026,2016-04-02,3004
10512,4723,306,8018,2016-04-04,4380
10546,4726,303,8002,2016-03-18,1130
10502,4701,331,8028,2016-04-30,110
10536,4712,305,8021,2016-04-22,1731
10533,4720,346,8031,2016-03-23,1813
10505,4716,328,8030,2016-05-01,3340
10532,4735,325,8021,2016-03-27,4366
10533,4729,325,8044,2016-04-07,514
10507,4715,346,8047,2016-03-08,889
10504,4732,306,8034,2016-05-30,3559
10544,4739,346,8011,2016-04-14,4287
10529,4735,339,8049,2016-03-07,4682
10508,4744,348,8003,2016-05-26,3781
10509,4720,341,8042,2016-03-14,1558
10527,4705,341,8009,2016-03-19,3726
10547,4727,303,8016,2016-04-24,941
10531,4744,339,8001,2016-04-28,2010
10539,4738,345,8034,2016-03-02,4471
10543,4724,329,8023,2016-05-01,1932
10502,4732,339,8040,2016-03-28,1124
10519,4739,316,8000,2016-04-13,2638
10546,4709,349,8011,2016-05-25,1240
10512,4723,320,8042,2016-04-19,3539
10527,4738,316,8021,2016-04-13,2788
10538,4718,312,8039,2016-05-03,1299
10501,4708,339,8021,2016-04-14,2069
10550,4724,311,8036,2016-03-01,485
10508,4700,321,8012,2016-04-25,706
10505,4722,350,8028,2016-04-17,2066
10537,4749,343,8031,2016-03-04,1340
10543,4717,308,8026,2016-03-22,4557
10519,4715,303,8036,2016-04-22,4348
10506,4723,326,8032,2016-03-16,4356
10517,4732,316,8036,2016-03-17,2122
10544,4731,310,8026,2016-05-08,4624
10504,4727,338,8042,2016-03-30,4490
10516,4742,322,8044,2016-04-22,1890
10512,4744,343,8004,2016-05-13,527
10515,4708,310,8020,2016-05-17,3110
10525,4716,305,8000,2016-04-27,1803
10515,4717,304,8019,2016-03-04,2572
10542,4721,339,8050,2016-05-05,4090
10526,4711,303,8048,2016-03-04,4175
10503,4724,325,8044,2016-03-06,3111
10507,4703,343,8049,2016-05-09,294
10519,4714,326,8043,2016-03-23,124
10526,4708,312,8032,2016-04-06,2424
10509,4706,323,8047,2016-03-25,1135
10540,4730,302,8008,2016-03-04,1716
10539,4714,318,8001,2016-05-03,4157
10513,4715,334,8025,2016-04-21,801
10539,4706,345,8025,2016-04-05,4372
10547,4707,332,8016,2016-04-21,2692
10542,4716,323,8023,2016-03-12,1918
10504,4719,326,8047,2016-03-09,4485
10519,4743,307,8028,2016-03-06,3887
10548,4706,315,8047,2016-05-09,2100
10502,4730,334,8001,2016-05-23,4039
10543,4740,322,8021,2016-04-05,4349
10506,4709,324,8014,2016-03-07,3434
10540,4709,350,8032,2016-04-15,1682
10550,4739,327,8050,2016-05-15,3852
10504,4733,342,8036,2016-03-27,1431
10532,4701,338,8045,2016-03-13,145
10514,4722,309,8050,2016-05-27,2843
10511,4702,307,8030,2016-05-13,4546
10538,4738,327,8022,2016-03-27,1969
10513,4736,335,8043,2016-05-23,3999
10549,4703,326,8011,2016-03-08,526
10511,4700,323,8046,2016-03-31,253
10527,4719,328,8050,2016-05-13,4172
10506,4742,339,8007,2016-03-07,997
10515,4701,323,8047,2016-04-01,344
10502,4707,320,8030,2016-04-17,3719
10514,4723,343,8014,2016-03-14,3589
10540,4724,309,8043,2016-03-10,2752
10514,4734,345,8036,2016-03-20,3861
10528,4732,307,8043,2016-03-05,2278
10520,4717,311,8016,2016-04-13,983
10528,4728,336,8029,2016-03-13,1050
10511,4729,334,8029,2016-04-20,4144
10537,4710,345,8015,2016-04-18,940
10500,4710,329,8042,2016-05-10,1005
10537,4724,302,8023,2016-05-28,1979
10547,4721,326,8037,2016-03-20,2678
10538,4711,308,8008,2016-03-07,683
10531,4748,313,8002,2016-05-18,3464
10532,4723,334,8013,2016-03-01,547
10504,4750,308,8017,2016-03-15,188
10536,4710,301,8024,2016-05-20,1199
