11/04/2019,20,338
12/09/2019,1,412
07/10/2019,61,395
09/26/2019,94,52
11/03/2019,88,216
06/09/2019,71,241
08/24/2019,98,454
10/09/2019,73,199
06/20/2019,94,161
06/11/2019,90,303
09/08/2019,58,395
08/09/2019,77,79
02/05/2019,63,488
04/10/2019,10,126
01/21/2019,17,240
10/08/2019,23,416
08/27/2019,52,431
04/07/2019,80,447
09/17/2019,45,398
12/17/2019,42,204
05/20/2019,92,259
05/11/2019,40,285
06/14/2019,65,77
03/10/2019,2,346
05/21/2019,98,445
01/05/2019,97,200
10/25/2019,65,413
01/10/2019,81,405
11/04/2019,62,103
08/12/2019,86,321
07/16/2019,18,185
05/26/2019,35,331
03/11/2019,41,390
09/26/2019,77,146
12/04/2019,77,475
08/03/2019,74,281
04/11/2019,88,200
04/15/2019,96,457
01/21/2019,70,201
10/02/2019,49,353
02/12/2019,26,286
06/08/2019,33,64
11/26/2019,18,228
04/24/2019,45,425
06/19/2019,44,366
10/05/2019,10,405
01/20/2019,4,159
06/15/2019,10,83
09/28/2019,28,287
04/27/2019,11,381
08/05/2019,13,326
09/04/2019,88,492
11/22/2019,34,81
04/19/2019,97,401
10/01/2019,86,487
01/27/2019,94,103
02/07/2019,67,280
09/27/2019,60,131
09/27/2019,25,362
07/22/2019,15,182
01/04/2019,84,95
09/21/2019,82,93
04/16/2019,73,291
10/07/2019,14,235
08/18/2019,97,320
11/11/2019,88,164
04/21/2019,90,241
02/11/2019,33,234
03/22/2019,12,463
06/23/2019,35,80
09/07/2019,65,161
10/24/2019,19,432
09/27/2019,27,309
10/06/2019,17,481
09/02/2019,38,385
04/11/2019,65,190
06/22/2019,85,264
12/17/2019,40,319
12/05/2019,38,71
07/18/2019,61,416
02/25/2019,97,375
03/02/2019,70,198
11/14/2019,41,307
01/07/2019,72,420
07/12/2019,51,474
01/13/2019,88,96
12/01/2019,86,328
03/22/2019,53,324
05/05/2019,80,331
01/28/2019,85,366
09/21/2019,85,134
11/04/2019,90,382
07/25/2019,73,150
01/20/2019,55,335
09/24/2019,29,78
04/04/2019,28,455
10/19/2019,49,426
01/02/2019,22,433
07/10/2019,80,327
09/18/2019,75,313
06/05/2019,8,205
10/12/2019,56,152
12/06/2019,77,270
01/30/2019,5,77
12/01/2019,50,82
11/02/2019,99,496
07/17/2019,71,256
05/28/2019,67,231
09/09/2019,5,356
08/29/2019,20,410
08/05/2019,29,393
01/22/2019,5,375
08/06/2019,26,75
09/05/2019,65,129
06/26/2019,3,324
03/01/2019,65,497
08/17/2019,22,491
12/25/2019,95,287
11/27/2019,52,192
05/25/2019,85,290
08/18/2019,53,302
11/28/2019,1,431
03/03/2019,41,332
03/12/2019,62,311
01/12/2019,14,500
12/17/2019,13,59
10/30/2019,98,313
09/11/2019,12,230
07/02/2019,38,313
05/18/2019,29,332
11/03/2019,12,320
02/23/2019,48,477
05/23/2019,44,329
04/13/2019,33,480
12/15/2019,73,365
08/23/2019,24,67
11/02/2019,11,210
12/04/2019,82,315
09/28/2019,77,445
10/27/2019,38,148
07/31/2019,17,293
10/10/2019,44,306
12/23/2019,51,429
10/02/2019,63,439
11/06/2019,39,268
09/15/2019,36,242
09/16/2019,84,374
12/06/2019,40,296
10/20/2019,4,445
