87,11,52,40
81,93,23,4
58,52,85,11
87,76,19,54
37,38,70,59
99,41,37,94
35,79,92,41
66,82,6,6
58,28,33,23
64,22,78,10
67,41,51,43
72,64,16,8
37,80,70,28
10,13,83,21
6,45,58,11
8,48,48,37
43,96,13,7
38,77,26,76
5,3,55,67
87,66,13,50
62,58,69,48
76,68,48,21
57,75,11,26
51,23,63,38
1,66,55,5
47,90,4,74
54,65,23,90
14,46,84,3
96,7,34,95
33,17,68,17
89,34,20,42
15,75,20,1
9,25,70,66
71,12,2,21
76,95,6,86
50,25,66,77
54,59,90,23
52,3,56,88
89,18,51,98
60,58,33,34
55,31,38,5
67,34,37,99
46,82,32,68
5,88,76,70
23,15,32,82
98,39,19,16
69,66,75,69
28,16,53,79
21,62,45,40
38,85,35,28
94,56,48,77
48,78,66,17
39,38,11,96
62,21,61,78
48,7,25,90
40,68,85,21
69,54,97,54
49,74,75,85
35,71,71,100
100,32,35,4
16,78,52,88
14,33,73,62
89,7,76,20
95,11,74,55
82,68,94,38
97,29,90,5
52,19,81,74
74,12,91,84
68,58,72,62
66,65,77,10
37,80,58,28
33,67,15,78
31,27,39,43
67,19,42,30
66,100,31,30
44,27,81,47
3,37,90,19
60,33,11,11
36,90,76,15
60,15,56,34
19,4,80,9
65,74,5,24
68,28,8,40
41,59,52,41
52,75,73,56
69,51,73,15
86,15,5,34
69,20,92,5
20,65,28,46
12,78,58,66
61,85,98,71
31,89,51,68
54,79,9,80
24,49,6,38
67,53,43,7
4,79,10,78
22,72,98,96
99,75,51,31
5,9,18,10
67,10,29,38
66,71,24,74
46,22,87,41
50,72,32,9
39,42,21,74
10,17,49,89
10,43,85,60
51,66,60,8
75,96,32,56
97,19,10,24
99,98,31,31
18,73,58,96
52,41,17,10
53,57,45,19
63,50,9,17
93,84,75,66
73,91,75,60
88,18,64,28
87,77,44,79
52,33,58,48
16,17,65,91
13,66,12,67
16,13,95,62
22,13,19,14
49,15,96,57
72,50,38,61
67,100,50,18
45,58,6,77
84,65,70,88
82,6,54,47
73,70,14,40
76,78,41,18
30,12,67,11
94,50,35,69
37,5,26,30
39,69,94,75
91,50,86,79
67,69,89,55
88,18,1,25
97,88,74,11
28,37,50,11
51,75,50,81
55,30,67,98
50,86,50,5
81,69,47,61
64,88,51,14
78,95,62,38
59,40,81,65
64,28,5,44
73,60,33,42
55,18,46,71
37,23,16,15
17,67,32,6
52,94,91,49
93,37,79,85
88,28,90,73
15,42,47,90
59,4,83,37
24,84,72,21
26,63,78,16
66,74,93,14
67,80,15,33
26,15,22,10
43,55,57,90
35,51,49,34
36,31,48,67
27,56,59,27
85,53,67,62
42,46,85,49
82,70,17,22
17,26,45,74
13,97,88,38
49,32,99,75
75,80,23,14
85,25,82,96
17,32,98,25
89,58,20,92
5,66,93,45
35,8,29,42
3,66,68,71
1,43,6,27
65,91,30,75
94,1,11,89
4,15,49,90
60,44,56,18
40,52,20,91
16,16,3,2
16,28,28,18
94,74,22,14
94,32,8,26
69,77,90,27
66,54,31,28
22,94,100,84
16,61,57,71
34,62,59,25
72,89,6,62
56,35,56,19
76,69,21,2
82,25,84,28
82,49,44,89
75,60,82,19
10,72,12,46
76,17,77,49
64,4,1,90
71,42,18,9
20,36,83,20
69,78,54,5
33,2,74,79
88,20,73,37
74,39,84,81
52,3,25,11
47,28,90,27
63,52,22,48
27,60,41,99
11,37,48,6
62,4,41,88
7,68,61,50
65,73,14,11
31,75,18,12
76,57,57,60
32,75,74,85
80,62,31,54
38,5,52,69
81,59,1,63
56,59,88,8
62,25,27,100
79,41,92,55
10,59,33,31
10,27,37,4
25,30,9,28
91,22,82,44
15,25,12,12
15,29,87,14
94,50,42,3
54,86,16,100
95,48,83,48
100,90,34,62
95,79,2,32
44,68,29,76
46,61,100,88
25,2,28,44
93,51,92,71
72,26,27,16
5,61,23,3
31,91,10,14
48,29,76,82
33,8,49,98
8,13,24,74
46,99,42,50
34,78,19,26
42,94,16,3
39,52,90,17
29,100,73,50
39,1,62,39
26,68,61,14
5,37,22,87
4,38,31,47
95,57,32,60
72,73,29,2
44,35,32,84
55,17,20,50
25,30,10,67
33,15,89,38
17,37,11,17
85,71,56,46
58,79,23,30
63,32,50,74
24,30,28,11
81,17,62,67
92,51,29,70
5,95,42,59
40,62,46,1
87,64,68,94
65,41,42,14
95,12,58,13
53,57,44,5
4,89,18,38
17,89,94,36
69,89,56,13
3,26,69,84
64,25,86,57
19,2,13,99
11,70,36,17
32,39,12,81
73,31,70,22
92,76,13,100
80,80,84,97
7,78,14,95
29,66,34,17
5,88,86,7
95,88,90,26
75,97,90,27
68,32,20,38
69,51,95,15
50,85,69,66
97,70,30,21
28,73,84,53
80,95,16,80
35,24,58,34
69,87,50,1
19,5,27,75
25,56,89,64
86,55,32,54
12,73,55,83
24,53,10,92
24,34,28,45
20,2,55,74
12,73,76,47
83,41,44,75
57,59,86,99
15,26,17,89
17,36,33,17
73,87,11,71
46,74,58,62
27,5,62,31
68,15,42,38
18,6,4,97
64,24,90,85
25,53,87,9
74,79,69,37
94,67,53,13
86,27,57,31
17,15,24,41
95,43,61,8
11,40,39,27
45,26,79,32
8,33,78,39
83,31,98,41
88,42,76,8
51,20,77,70
86,23,26,79
96,89,57,4
91,14,94,94
70,72,56,57
93,4,59,45
3,60,20,43
21,2,71,48
79,40,63,23
85,46,100,17
81,46,95,4
67,89,60,50
81,11,21,43
42,11,45,48
46,91,12,56
49,46,7,5
9,46,87,94
40,27,14,14
46,21,100,88
4,13,13,70
34,45,50,1
87,72,94,84
83,26,91,49
94,77,3,37
79,18,93,62
93,47,98,80
55,90,16,50
9,17,39,93
54,33,98,16
19,47,77,75
90,91,68,38
91,18,11,76
70,60,50,38
21,9,33,85
89,48,100,62
34,70,94,63
83,83,64,4
32,48,56,1
59,1,47,72
39,15,4,63
60,80,56,49
57,82,17,100
27,100,63,3
10,75,81,80
40,55,45,34
5,45,56,2
95,100,56,60
87,9,34,55
69,14,1,40
14,89,100,12
15,100,25,18
28,28,34,82
58,64,74,91
12,72,37,78
88,45,26,78
83,20,98,59
23,97,20,64
30,14,56,69
10,24,24,23
32,11,23,93
49,20,80,32
59,27,69,99
52,19,15,67
55,90,39,89
91,34,16,30
62,91,89,30
87,40,56,61
84,16,14,10
91,58,24,90
21,94,65,68
100,64,48,93
8,69,83,63
4,81,76,66
